Longitude,Latitude,Temperature,Humidity,Pressure,Precipitation,CloudCover,Threat
5,35,35.05,16.37,1016.23,0,53.69,0.267158014
104,30,25.85,85.5,1001.6,0.14,27.2,0.598696316
-45,33,25.75,76,1025.88,0,0.33,0.499534127
120,43,29.75,47.13,1009.45,,100,0.233077689
69,49,27.41,28.07,1004.32,,,0.202346032
-16,41,20.61,89.37,1018.58,0.12,42.43,0.725496179
49,36,32.55,13.63,1003.37,,48.87,0.084765873
98,36,21.01,41.17,996.48,0.03,69.6,0.40683027
103,30,21.88,93.3,1003.87,0.98,3.17,0.88907523
-39,26,25.41,72.87,1024.34,0.01,45.3,0.747725144
116,33,25.55,90.57,1006.96,,100,0.235815079
2,39,26.68,74.7,1017.86,,,0.833426587
109,37,21.55,75.93,1006.8,0.24,33.97,0.431577292
-61,28,27.18,72,1024.04,0.04,99.03,0.750940765
12,44,31.21,31.97,1016.14,0.02,1.27,0.324294306
27,27,38.38,15.33,1007.45,,0,0.046895274
-36,46,16.68,77.07,1020.88,0,68.97,0.731493038
-55,35,27.01,72.2,1024.85,0.12,76.87,0.855332035
18,46,26.01,36,1018.95,,76.23,0.576985631
-55,30,26.78,75.37,1025.27,0.02,3.5,0.644051984
-21,42,20.11,88.07,1014.32,0.06,0,0.82713365
20,38,25.91,84.8,1012.17,,22.64,0.68597037
62,27,35.48,7.73,997.66,,,0.056304004
-7,41,33.68,22.23,1014.83,0,5.37,0.170050938
86,32,15.31,39.17,993.15,0.09,100,0.443912293
47,31,50.18,8.77,994.39,,27.4,0.17407096
104,43,30.61,26.6,999.32,,100,0.272654004
6,41,25.68,75.87,1018.36,,0.53,0.458313986
-50,41,23.88,89.53,1021.05,0,1.3,0.840287662
111,32,23.11,93.83,1005.23,0.11,99.67,0.704084993
73,33,32.35,45.73,995.26,,3.83,0.117734615
70,28,41.18,27,990.02,0,1.93,0.197187951
60,29,36.51,7.37,999.26,,,0.023692857
-18,32,21.61,79.47,1022.07,,,0.9545
88,48,23.15,26.3,1003.19,,5.8,0.33452381
82,47,32.85,14.73,997.39,,82.7,0.134415873
-59,44,17.25,98.1,1012.27,0,64.93,0.627668615
72,31,36.91,41.77,992.66,0.2,58.9,0.420823785
-61,27,27.25,70.17,1023.83,0,45.2,0.6665671
108,49,15.18,98.47,1007.17,1.03,92.87,0.697305142
70,31,25.01,55.53,999.03,0.49,41.1,0.38203373
45,45,40.75,12.73,1001.16,,1.8,0.004377489
94,32,10.45,71.9,1000.26,0.09,100,0.640167063
44,31,45.88,7.63,998.44,,,0.01702619
109,34,21.01,88.5,1005.65,0.11,0.83,0.936141342
24,37,27.55,72.8,1010.46,,0,0.805261255
56,35,38.81,8.07,1001.02,,,0.001734524
63,43,34.71,14.13,1001.99,,0,0.04274614
102,31,11.35,86.7,1007.33,0.46,26.5,0.399815712
12,26,37.05,13.27,1012.3,,1.27,0.167517749
111,43,30.61,34.4,1003.68,,95.6,0.205692063
-42,41,22.28,83.47,1023.72,,66.2,0.772379523
27,39,34.38,30.87,1007.43,,14.9,0.242581255
-8,47,20.18,86.83,1019.44,,48.73,0.694827417
-40,35,23.31,64.83,1025.84,,,0.755280139
-14,41,20.05,90.17,1020.05,,36.37,0.823524206
5,32,40.28,11.73,1013.7,0,0,0.184942424
12,34,26.58,64.13,1017.26,0,24.52,0.350622275
83,33,20.55,22.07,986.18,,75.03,0.176717569
-66,38,24.98,85.87,1012.75,7.02,100,0.776280295
-34,39,20.21,72.37,1023.51,0.02,97.87,0.699736003
39,29,41.08,9.97,1003.41,,,0.016761508
22,48,23.98,48.17,1017.28,,98.37,0.487792532
12,39,27.01,61.17,1017.55,0,15.51,0.424160775
-41,29,25.15,68.77,1025.91,,,0.754898016
52,47,39.35,15.6,1002.21,,9.33,0.024057143
60,28,31.81,10.77,1001.46,,,0.024951587
27,34,26.28,76.87,1010,0,37.28,0.435885678
45,40,27.48,29.07,1004.48,0.02,9.63,0.292083675
-7,41,33.68,22.23,1014.83,0,5.37,0.170050938
-4,49,19.01,87.1,1021.94,,99,0.749743257
-32,44,18.21,76.5,1019.3,0.01,24.87,0.826789683
-61,36,26.78,80.3,1020.45,0.29,93.77,0.738809271
65,33,30.88,8.87,995.43,,63.8,0.177296825
1,42,34.18,21.27,1016.08,0.01,16.6,0.201713889
50,47,39.55,15.87,1002.64,,85.93,0.098476984
-4,33,37.65,10.6,1013.27,0,0,0.186217785
-50,26,26.55,69.97,1024.92,0.01,0.6,0.556302435
83,47,28.78,21,999.43,,54.1,0.302012485
60,32,30.48,11.9,1002.62,,2.2,0.026436869
-6,40,36.35,13.6,1014.58,0,,0.104920138
39,33,38.91,10.3,1003.1,,,0.017761508
99,33,8.11,78.87,1006.45,0,6.2,0.622088745
51,35,39.58,9.23,1000.37,,0.07,0.039280556
6,41,25.68,75.87,1018.36,,0.53,0.458313986
117,27,23.88,71.2,1004.59,,0.47,0.476613278
121,41,24.48,84.2,1012.31,,100,0.894046032
62,43,35.75,12.47,1002.03,,0.4,0.046256746
52,29,37.35,31.17,999.84,0,15.8,0.218318831
67,28,33.88,10.97,994.44,,,0.130635173
-9,27,37.95,14.97,1009.71,,,0.003533333
114,28,26.21,84.23,1003.54,,91.57,0.510482415
-6,44,19.88,88.33,1018.63,,66.67,0.546430952
-32,39,20.45,69.83,1022.47,0.02,97.47,0.615177381
41,36,39.25,14.93,999.84,,,0.006734524
74,42,11.41,56.87,1007.67,0.04,100,0.630870364
73,29,37.65,39.13,992.27,0,65.27,0.404011264
-59,40,24.65,86.63,1015.54,2.98,100,0.66950404
-45,41,23.68,88.57,1023.34,0,0,0.732621898
82,46,28.01,32.07,996.84,,88.87,0.280883333
84,35,11.35,53.93,995.5,0.51,77.83,0.340971961
121,44,28.81,54.97,1009.42,,69.37,0.233141447
-51,44,17.75,98.3,1016.33,0.73,100,0.704237374
57,29,31.65,7.53,1002.52,,,0.009176587
37,41,25.01,67.03,1009.54,0.05,48.17,0.485914646
73,47,25.21,38.33,999.8,0.43,63.13,0.322148701
-63,36,26.45,82.87,1018.96,0.17,70.97,0.827988059
79,47,34.18,18.9,998.04,0,36.83,0.120183253
30,30,36.41,22.77,1007.89,0,0.67,0.164626787
-13,40,20.11,77.17,1020.93,0,1.8,0.528257612
-35,29,23.85,71.77,1025.49,,,0.634199592
107,28,21.65,89.73,1004.64,0.08,21.97,0.924281555
-14,38,20.41,73.43,1021.54,,1.73,0.36320754
-11,32,20.78,88.3,1016.37,,,0.521506133
-26,40,20.41,68.37,1018.73,0.01,4.6,0.628630159
36,41,25.71,52.07,1009.24,0,12.93,0.57116844
34,37,26.48,24.8,1007.6,0,24.2,0.274690873
62,39,40.68,9.67,998.48,,31.87,0.073755952
11,41,25.31,70.67,1017.51,0,4.17,0.60896324
64,46,33.65,18.13,1002.84,,47.47,0.07276627
25,49,16.11,91.8,1017.03,0.25,100,0.452947436
14,28,35.11,15.97,1013.11,,,0.071540188
79,44,34.58,12.77,996.49,,100,0.135031349
-36,47,16.45,78.2,1020.32,0,100,0.87744513
63,30,39.65,6.47,991.83,,,0.094353427
119,28,22.01,76.53,1006.24,,0,0.738086447
-61,49,13.71,91.77,1013.61,,17.53,0.852154762
81,30,6.31,99.07,1008.57,0.25,99.13,0.342264322
-44,49,13.21,98.93,1014.77,0.17,100,0.418752778
80,36,2.88,96.07,1008.88,0.4,100,0.054255357
53,39,29.61,66.97,1003.05,,0,0.07321862
16,47,25.88,39.93,1019.14,,61.6,0.533097006
59,46,26.61,54.97,1005.24,,4.87,0.242749062
124,49,23.81,90.43,1010.99,,69.37,0.704407357
14,27,37.18,15.8,1011.84,,,0.087912807
-36,32,25.01,76.63,1024.65,0,19.47,0.776047186
-12,37,19.48,82.17,1020.67,0,59.77,0.733552922
28,39,33.45,27.27,1007.5,,25.1,0.166892496
107,44,29.28,30.03,1001.55,,78.33,0.182500794
39,46,35.31,37.03,1002.69,0,48.07,0.35500267
-10,30,20.08,87.9,1012.53,,0,0.790712244
49,28,34.35,75.87,996.75,,5,0.335123305
-10,38,18.75,87.07,1019.24,0,0,0.894968071
-12,38,19.48,80.23,1020.88,0,36.17,0.401293254
121,49,22.45,82.47,1010.52,,4.8,0.890115512
-13,43,19.45,88.7,1019.55,0,4.93,0.953482143
57,44,37.08,16.37,1003.66,,1.33,0.073639683
-21,46,17.88,80.8,1012.82,0,99.9,0.411340593
36,46,28.35,71.67,1003.37,0,0,0.356807217
18,46,26.01,36,1018.95,,76.23,0.576985631
-18,47,17.45,87.67,1013.16,0,100,0.247687879
25,43,25.61,34.63,1013.83,,16.26,0.421167449
5,41,25.71,75.7,1018.35,,0,0.582840118
12,41,25.11,76.9,1017.14,,1.23,0.350841993
66,49,30.38,23.37,1004.7,,0,0.183902373
-14,31,20.48,87.4,1019.02,,,0.828716667
-59,44,17.25,98.1,1012.27,0,64.93,0.627668615
7,27,43.61,8.57,1007.17,,,0.012471429
-33,27,24.31,70.83,1024.48,0,84,0.745904654
-5,40,36.58,11.07,1014.35,0,,0.099343948
108,31,26.65,77.9,1001.74,0.53,5,0.239143705
-36,31,24.48,69.57,1025.28,0,0,0.404021627
16,47,25.88,39.93,1019.14,,61.6,0.533097006
-57,27,27.01,71.3,1024.22,0,0.97,0.531050794
-14,37,20.15,75.3,1021.63,,,0.844509982
18,38,26.81,69.43,1014.36,0,0,0.778232143
70,34,12.61,62.8,1005.72,0.16,79,0.331602128
98,27,20.21,96.27,1003.34,0.22,99.6,0.861266961
19,35,26.88,70.37,1014.37,0.01,49.53,0.339150505
83,43,12.21,69.63,1007.2,0.42,100,0.525028175
15,47,22.95,42.73,1018.77,0,5.73,0.555710354
79,48,27.71,31.97,1001.12,0,65.17,0.266370743
123,32,27.41,82.9,1008.54,0,5.27,0.361696429
26,27,37.65,15.43,1008.03,,0,0.055723846
18,43,29.55,21.33,1015.32,,2.28,0.174459776
-56,28,26.88,73.03,1024.67,0.01,5.17,0.589855844
19,39,26.31,78.77,1012.95,0,0,0.533085714
50,36,37.15,11.43,1001.5,,1.63,0.012856061
47,29,46.61,13.53,995.99,,4.8,0.052470635
-42,35,23.95,61.7,1025.99,,,0.667241683
118,38,27.35,73.2,1010.87,0.31,100,0.539614666
17,38,27.31,61.57,1015.04,0,,0.052209776
-37,46,16.81,77.7,1021.01,,100,0.849731746
9,26,39.58,10,1009.63,,10.73,0.016419048
-23,49,16.88,90.13,1009.08,0.01,92.57,0.510045485
-2,33,34.65,10.97,1016,0,1.67,0.247528102
0,48,28.81,43.3,1020.64,,1.07,0.773884921
83,45,35.45,16.43,995.33,,100,0.130186111
-17,45,18.81,95.23,1014.04,0,3.5,0.801575758
80,39,23.38,49.3,1002.29,0,100,0.563452056
-7,32,35.81,16,1013.24,0,2.37,0.124907792
68,34,17.41,23.37,1002.63,,73.17,0.122038492
15,41,32.45,20.53,1015.74,,0.87,0.313102456
-9,36,19.45,85.63,1017.65,0,2.33,0.9089
64,28,39.68,8.1,993.06,,,0.103976154
113,46,29.05,31.87,1004.22,,96.47,0.181992857
92,31,9.51,66.27,1000.72,0.1,100,0.721079365
79,39,20.38,65.27,1004.08,0.26,100,0.600621825
19,37,26.85,72.27,1013.72,0,38.15,0.680984921
54,38,36.38,24.77,1002.39,,0,0.147004853
81,44,34.25,13.17,994.89,,99.27,0.137039683
-65,37,25.71,84.67,1015.62,1.26,100,0.498491769
39,48,34.78,31.4,1001.21,0,37.33,0.257598008
51,37,29.71,77.1,1001.86,,3.33,0.327806094
116,34,25.18,87.2,1007.8,0.5,100,0.632850855
94,46,20.01,25.8,1005.55,,34.33,0.414722547
49,49,36.45,21.77,1002.18,0.02,99.37,0.130187193
77,35,1.45,95.7,1010.53,0.15,91.87,0.175563753
57,38,31.88,11.13,1005.11,,1.77,0.032194444
-3,31,39.31,10.3,1013.67,,,0.098920635
-10,31,20.15,86.7,1012.08,,0,0.831477751
45,42,33.38,22.63,1003.62,0,0.83,0.190044392
-28,42,19.11,71.2,1017.48,0.02,19.57,0.667147074
25,37,27.48,71.43,1009.88,,,0.80134632
50,27,34.48,72.63,996.81,,0,0.20375096
-57,43,21.85,89.63,1012.62,,56.27,0.436505916
92,41,31.18,16.93,997.7,,99.53,0.119644444
98,39,12.98,70.27,1005.49,0.57,98.2,0.470064072
-64,36,26.38,85.37,1017.95,0.13,91,0.749763276
3,32,38.61,10.93,1014.54,,,0.139945779
5,31,41.41,9.67,1012.6,,,0.090015657
21,35,26.75,72.43,1013.06,0,0,0.910936039
93,27,27.68,87.97,998.09,0.31,65.67,0.529863561
92,31,9.51,66.27,1000.72,0.1,100,0.721079365
123,45,28.45,58.73,1010.83,0.19,93.1,0.570790571
-17,43,20.18,92.03,1015.3,0.11,5.17,0.814228752
115,28,27.55,82.7,1003.26,,47.57,0.52365303
53,38,30.58,61.43,1002.67,,0,0.096867208
-26,34,23.71,80.13,1023.13,0,8.7,0.908080988
-47,46,15.01,99.4,1017.31,0.02,100,0.47317132
120,31,25.91,78.73,1007.9,0,0,0.676327405
5,47,24.68,63.3,1020.02,,31.53,0.37831057
94,29,7.78,91.1,1010.31,0.03,84.47,0.45305119
110,37,23.48,70.47,1006.73,0.08,90.73,0.592213242
90,40,31.88,19.53,996.03,,52.73,0.187108608
86,34,13.61,46.87,993.86,0.04,71.23,0.270848918
55,34,36.88,8.73,1002.11,,0,0.04212114
-53,43,20.61,93.9,1016.04,0.21,100,0.748537013
48,35,34.18,11.63,1002.39,,72.47,0.102524603
21,48,25.58,39.9,1017.6,,64.97,0.484234885
110,48,22.25,65.2,1003.46,0,100,0.654379545
-21,42,20.11,88.07,1014.32,0.06,0,0.82713365
55,29,33.45,11.77,1001.99,,,0.010200397
92,47,16.25,34.13,1006.82,0,97.97,0.219431638
48,40,39.88,20.07,1000.66,,22.27,0.093759921
105,39,31.11,27.5,998.8,,90.93,0.214530556
